current_path,current_label,current_short_label,current_room,current_nerd_group,unlock_week,unlock_phase,user_job,lifecycle_phase,frequency,urgency,current_surface_type,current_entry_points,current_back_return_behavior,current_discoverability,current_mobile_usability,current_scroll_burden,overlap_or_ambiguity,belongs_in_permanent_nav,recommended_parent_hub,recommended_canonical_path,recommended_surface_type,recommended_placement,route_compatibility,feature_loss_risk,required_acceptance_test
/,Monday Briefing,Briefing,briefing,core,always,,Understand the week and choose the next meaningful action,all,every session,critical,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",high,direct but dense,very high measured,"Briefing, Action Center, Inbox, Watch List, Chip, badges, and readiness compete to explain next actions",yes — Today,Today,/today,phase-aware hub,Today overview,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Today, reach the complete Monday Briefing capability in no more than 3 intentional interactions (1 from an active related task); opening / resolves to the new surface with state, unlock rules, and back behavior intact."
/week-advance,Advance Week,Advance,briefing,core,always,,"Confirm readiness, understand consequences, and advance safely",all,weekly,critical,workflow exposed as global route,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",high,direct but dense,representative-source risk; measure during packet migration,"Briefing, Action Center, Inbox, Watch List, Chip, badges, and readiness compete to explain next actions",no,Today,/today?panel=readiness,drawer or bottom sheet,sticky gated Advance control,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Today, reach the complete Advance Week capability in no more than 3 intentional interactions (1 from an active related task); opening /week-advance resolves to the new surface with state, unlock rules, and back behavior intact."
/inbox,Inbox,Inbox,briefing,core,always,,Review actionable messages and decisions,all,frequent,high,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,"Briefing, Action Center, Inbox, Watch List, Chip, badges, and readiness compete to explain next actions",no,Today,/today/inbox,hub tab or section,Today > Inbox,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Today, reach the complete Inbox capability in no more than 3 intentional interactions (1 from an active related task); opening /inbox resolves to the new surface with state, unlock rules, and back behavior intact."
/watch-list,Watch List,Watch,briefing,core,always,,"Track players, games, and items for later",all,frequent,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,"Briefing, Action Center, Inbox, Watch List, Chip, badges, and readiness compete to explain next actions",no,Today,/today/watchlist,hub tab or section,Today > Watchlist,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Today, reach the complete Watch List capability in no more than 3 intentional interactions (1 from an active related task); opening /watch-list resolves to the new surface with state, unlock rules, and back behavior intact."
/roster,Roster,Roster,football_ops,team,always,,Scan and manage the roster,all,very frequent,high,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",high,direct but dense,very high measured,none uniquely identified,yes — Team,Team,/team/roster,collection/list with filters,Team default,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Roster capability in no more than 3 intentional interactions (1 from an active related task); opening /roster resolves to the new surface with state, unlock rules, and back behavior intact."
/depth-chart,Depth Chart,Depth,football_ops,team,always,,Set roles and lineup order,preseason / regular season,very frequent,critical when blocked,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Team,/team/depth,hub tab or section,Team > Depth,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Depth Chart capability in no more than 3 intentional interactions (1 from an active related task); opening /depth-chart resolves to the new surface with state, unlock rules, and back behavior intact."
/locker-room,Locker Room,Locker,football_ops,team,always,,Understand morale and chemistry,all,weekly,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Team,/team/culture,hub tab or section,Team > Culture,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Locker Room capability in no more than 3 intentional interactions (1 from an active related task); opening /locker-room resolves to the new surface with state, unlock rules, and back behavior intact."
/coaching,Coaching,Coach,football_ops,team,always,,Manage coaching staff,all,periodic,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Team,/team/staff,phase-aware hub,Team > Staff,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Coaching capability in no more than 3 intentional interactions (1 from an active related task); opening /coaching resolves to the new surface with state, unlock rules, and back behavior intact."
/coaching/tree,Coaching Tree,Tree,football_ops,team,always,,Review coaching lineage and progression,all,occasional,low,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Team,/team/staff/tree,hub tab or section,Team > Staff > Tree,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Coaching Tree capability in no more than 3 intentional interactions (1 from an active related task); opening /coaching/tree resolves to the new surface with state, unlock rules, and back behavior intact."
/coaching/relationships,Staff Relationships,Relations,football_ops,team,always,,Review staff relationships,all,periodic,medium,global destination,"five-room navigation, alternate Nerd grouping, command palette, contextual links, and mobile More; selected core routes also use persistent bottom navigation","hash routing works, but return-to-origin task, local context, and scroll restoration are not consistently modeled",low-to-medium,usually reached through the overloaded More drawer; screen behavior varies,representative-source risk; measure during packet migration,none uniquely identified,no,Team,/team/staff/relationships,hub tab or section,Team > Staff > Relationships,keep current hash path as alias or compatibility wrapper for at least one full release; retire only after route-coverage proof and H2 approval,"high until every action, state, unlock rule, and deep link is covered by a route contract test","From Team, reach the complete Staff Relationships capability in no more than 3 intentional interactions (1 from an active related task); opening /coaching/relationships resolves to the new surface with state, unlock rules, and back behavior intact."
